text_a	label
金管會要求各銀行分派2016至2018年度盈餘時,在稅後盈餘的5%-1%區間提列特別盈餘公積,以支應金融科技發展下員工轉職或安置支出。HCE產品上線,行動支付新里程碑	Y
469仟美元,達成預算目標之143%。證券經紀業務量為92,103,189仟元,達成預算目標之180%。財富管理業務為77,832,630仟元,達成預算目標之100%。信託業務(保管)為147	Y
76424呆帳費用及保證責任準備提存34,288185,703營業費用3,321,1393,190,63809稅前淨利2,685,3132,363,42362稅後淨利2,339,0182,057,27270稅前每股盈餘453285稅後每股盈餘2615說明:呆帳費用及保證責任準備提存,主要係去年度提早依主管機關規定增提備抵,致使今年度呆帳提存費用相對下降。研究發展狀況為充分掌握國內外經濟金融情勢變化,並因應本行業務拓展,各部處定期及不定期研究編撰相關金融情勢分析、銀行業務發展及產業動態等專題研究報告,以供全體同仁研判市場走勢、參考運用。	N
105年度營業結果最適化營業通路,創造最大營運價值為提升分行通路價值與營運綜效,105年度升格「新福簡易型分行」為全功能分行。營業計劃及經營策略實施成果本行在105年度持續努力控管資產品質,績效顯著,105年底本行逾放比為09%、備抵呆帳覆蓋率為1,379%,全年度在39家本國銀行中均維持前五名。在各項業務發展上,105年底存款總餘額為344,998,551仟元,較104年底餘額數319,108,662仟元,增加25,889,889仟元;放款總餘額為263,642,947仟元,較104年底餘額數240,727,815仟元,增加22	N
富邦產險在車聯網領域與外部機構合作建立損防風險分析模型,並著手蒐集客戶駕駛行為數據資料。在綠色環保方面,推廣電子保單,響應環保愛地球,創造無紙化優質生活環境;此外,除定期舉辦損害防阻宣導外,為協助推廣火災損防知識,發揮教育影響力,更將消防教育設備捐贈予內政部消防署,為長期推動消防知識宣導盡一份心力。謹針對實施成果說明如下:市佔率比較(單位:%)保費收入比較(單位:億元)年度/公司富邦國泰新光明台新安旺旺友聯華南泰安第一兆豐105年301811121588345104年3417111515752171資料來源:產險公會營業狀況:個人保險進口高價車銷售高成長和車險傷害險需求增加下,個人保險整體市場成長3%	Y
以爭取區域發展關鍵機會。本金控業已將發展數位金融及積極評估區域合購併機會列為重點經營方針,以掌握此金融市場兩大趨勢。公司組織變化情形日盛金融控股股份有限公司於民國91年2月5日成立,目前投資事業包括日盛國際商業銀行股份有限公司、日盛證券股份有限公司、日盛國際產物保險代理人股份有限公司等三家子公司,與104年相同並無變動。營業計畫及經營策略實施成果日盛金控旗下子公司業務包括銀行、證券、期貨、創投、證券投資顧問及保險代理等,本公司積極規劃子公司業務發展策略及進行資源整合,以發揮金控最大效益。在全體同仁的努力下,本公司105年負債占淨值比率再降低至10%,雙重槓桿比率亦再降低至181%,顯示本金控財務結構持續強化,各項指標數據列示如下‥單位:新臺幣百萬元131131131合併總資產258,354268,509285	N
107年度營業計畫概要經營方針與重要經營政策持續提升資產品質,擴大資本規模,降低營運風險,發揮組織效益,提升資訊服務效能,以強化本行經營體質。配合金融政策,持續擴大經營範疇,發展多核心利基業務,提升經營綜效。擴大存放款利差,提高利息收益,拓展手續費收益相關業務,增進投資收益,強化自有財產運用效益,並激勵行員主動行銷,提升獲利水準。營業報告書順應金融數位化潮流,推動數位金融,整合虛實服務通路	Y
106年度營業計畫概要本行106年策略特色為將強化資本結構,落實內稽內控,並持續追求獲利成長。除持續穩固擴展利息收入外,將積極提升財務操作收益及手續費,並塑造年輕化的品牌形象,加強整合性行銷綜效。海外發展方面,繼續尋求於亞太地區佈點,發揮既有海外營業據點效益	Y
並加速德國法蘭克福、越南、菲律賓、印尼及馬來西亞等辦事處之籌設計畫。此外,並採取「站在巨人的肩膀上」策略,106年度分別與日本三井住友金融集團(SMFG)及德國德意志銀行(DeutscheBank)簽署業務合作備忘錄,為發展國際業務邁出重要的步伐。主要營運項目年度106年度105年度與上年度比較成長率存款業務39,0338,8252放款業務23,2223	Y
106年度外匯放款累計平均餘額較105年度成長39%。財富管理業務1聚焦強化財富管理業務,積極拓展保險、基金手續費收入,以增裕盈收、創造收益為優先重點。2積極推展理財聚焦專案,106年度財富管理業務手續費收入達7億元。在創新產品方面持續開發創新電金業務,提供更便利服務1積極申請各項金融科技發明及新型專利,於106年底已通過20項新型專利及2項發明專利之申請。臺灣中小企業銀行106年年報2開辦「跨境匯出(CashOutbound)代理收付款項」款項業務,提供客戶以本行金融卡於淘寶網購物付款。3提供客戶透過行動銀行進行消費扣款、繳費(稅)、購物及協助事業單位導入「台灣Pay」收款服務。4推出感應式金融卡,將現行金融卡新增感應式消費扣款功能,並重新設計新卡片模式,客戶可至特約商店進行金融卡感應式消費。5本行ATM新增「自行無卡提款」功能	Y
朝銀行服務無所不在的目標前進。因應高齡化社會發展趨勢衍生之各項老年經濟安養問題,統整集團資源,以跨公司、跨部門整合發揮最大效益,結合專業推出創新業務,積極開發退休安養之金融商品與附隨服務(如:透過規劃與退休金準備相關之保險、信託等商品),提供更多元的高齡金融商品或服務。強化內控、內稽、風管及法遵等公司治理作為,完備防制洗錢與打擊資恐機制,以高標準遵循主管機關規定及國際監理規範,並透過法令觀念宣導、法遵/法務訓練課程等,將法令遵循意識深植於全體行員心中。	N
237,8491,944,681108買賣各類票券8,661,2787,398,596107買賣各類債券5,116,3244,500,460168票債券附買回交易餘額208	N
以客戶導向為思考,提供優質數位服務,增進顧客體驗,深耕客戶關係,運用大數據分析,建立數位金融創新思維。掌握國際金融業務商機,建構全球企業金融服務網,提升海外經營績效。培育專業人才,重視客戶權益保護,強化公司治理,善盡企業社會責任。預期營業目標本(1年度主要營運項目,係依主管機關核定之事業計畫,參酌前(1年度業務實績、目前業務推行實況並預測未來發展趨勢擬定如下:存款營運量:新臺幣2兆1,100億元放款營運量:新臺幣1兆8,800億元外匯業務量:700億美元稅前淨利:新臺幣88億8,465萬元※以上存款、放款業務係累計平均餘額、外匯業務係承作量、稅前淨利係累計數。	N
106年度採權益法認列之投資收益佔36%,主要以銀行及證券收益為主。本公司106年度收入及獲利均呈現成長,合併淨收益達新台幣67億元,較105年度成長15%,合併稅前淨利為新台幣81億元,較105年度成長56%,主要貢獻來自於銀行子公司及證券子公司。日盛證券106年度合併淨收益達新台幣55億元,較105年度成長30%,合併稅前淨利為新台幣11億元,較105年度成長65%,主要係因股市成交量大幅增長手續費收入增加所致。日盛銀行106年度合併淨收益達新台幣53億元,較105年度成長3%,合併稅前淨利為新台幣53億元	N
105年度營業結果銀行組織變化情形為擴大財富管理業務服務網,本行105年度新設立六甲頂、仁德分行等2家財富管理分行,目前共有145家財富管理業務分行(其中9家為財富管理旗艦分行)。為擴增海外營運規模,本行於105年6月6日成立大陸福州分行。營業計畫及經營策略實施成果單位:新臺幣億元;億美元(外匯業務);%主要營運項目年度105年度104年度與上年度比較成長率存款業務38,8237,1153放款業務23,3623,2535保證業務7685外匯業務3,854,05購料業務3738貴金屬業務1,101,24公保業務282289代理業務(保險經紀)413363預算執行情形105年度存款營運量為新臺幣(以下同)3,880	N
067億元,外幣存款折合新臺幣4,135億元。整體利息淨收益及手續費淨收益穩健成長,利息淨收益新臺幣119億元,年成長率76%,手續費淨收益新臺幣139億元,年成長26%。財富管理及信用卡皆維持優異的成長動能,財富管理手續費收入新臺幣19億元,成長4%,信用卡手續費收入新臺幣44億元,成長8%。另外信用卡簽帳金額新臺幣3	N
02928所得稅費用(2,0(2,5186本期淨利14,13914,45780每股盈餘(元)161948105年度本公司個體綜合損益預算與實際執行情形表列如下:單位:新台幣佰萬元;%項目實際數預算數達成率(%)收益13,98114,49744費用及損失(2(3184稅前淨利13,74114	N
提升客戶數位金融服務體驗。本行在數位銀行業務成長方面,截至105年度為止,MyBank(個人網路銀行)申辦戶數成長33%;MyB2B(企業網路銀行)申辦戶數成長22%。金融交易業務主管機關自103年6月至105年3月,陸續針對銀行辦理TRF等複雜性高風險商品業務進行強化監理措施,新修正「銀行辦理衍生性金融商品業務內部作業制度及程序管理辦法」包括訂定非屬專業機構投資人及高淨值投資法人之客戶徵提期初保證金之最低標準及交易額度控管機制,銀行應審慎衡量客戶承受風險能力,確實遵守衍生性商品之風險管理與內部控制制度,因此銀行之管控機制及銷售流程益趨健全完善。因去年國際金融市場面臨美國總統大選、FED升息等重大事件,股匯市波動劇烈,加上主管機關提高承做客戶資格門檻、限制商品契約期限,致105年整年度較去年之價差收入減少51%	Y
則是依市場現況,推動女性、樂退商品及台、外幣利變型保險銷售等,期能達成整體新契約保費收入目標,提升新契約價值；另一方面,積極配合政策推動實物給付保單、微型保險及活化保單政策,不斷精進商品,更貼近弱勢族群及高齡化社會的需求,以發揮保障家庭、安定社會之精神與功能。投資策略方面觀察106年1月OECD領先指標顯示,預期106年全球經濟成長增速。其中美國啟動升息後,在新政府的財政政策挹注下經濟表現有望更佳	Y
下轄企金行銷部及國際金融部;個人金融事業群,下轄個金行銷部、信託部、財富管理部及保險代理人部;金融市場事業群,下轄金融交易部及金融市場行銷部;營運管理事業群,下轄營運管理部、數位金融部及客戶服務部;總行後台置3個管理群:風險管理群,下轄風險管理部、徵信產經研究部、債權管理部及授信管理部;資訊科技管理群,下轄資訊規劃開發部及資訊作業服務部;行政管理群,下轄行政管理部、財務會計部、人力資源部及經營企劃部;並設5個通路管理中心及法令遵循部。中華民國一〇六年度年報003誠信|效率|主動|責任|合作總經理鄭永春營業計劃與經營策略實施成果建構質量並重之存款規模,並於活期性存款占率與資金成本控制有亮麗表現。順應政府發展綠能政策,開辦「辦理太陽能售電應收帳款貸款」	Y
公司未來發展策略結合集團整合行銷及多元通路,為公司的健全經營與客戶的權益保障奠定更紮實的基礎。依照不同特定族群開發生活風格型商品,研發創新碎片化商品於網路銷售,爭取新興業務。經由理賠流程優化及導入新科技,例如:視訊勘車、數位化理賠服務、M+理賠服務、微電影取代傳統損防授課、理賠文件委作業中心登打、自動核賠與快捷理賠作業和企業保險導入自動核賠,已逐年提高人均接案量,將持續流程改善與優化措施。因全球氣候環境劇烈變遷,導致農業生產風險提高,積極推動水稻保險、養殖漁業保險和農業設施保險,期能藉由農作物天然災害保險,分散農民農業經營風險。持續推廣環保概念的電子保單及電子通知單服務,搭配各式行動繳款服務,讓客戶享有更完善的數位化即時便利。官網B2C網站升級	Y
﻿107年度營業計畫概要經營方針強化組織管理以提升營運績效,持續維持市場領導地位。落實績效評核,強化人力資源之運用效率。落實內部控制,強化公司治理。強化風險管理,維持良好財務及資產品質。預期營業目標與其依據單位：新臺幣佰萬元項目107年度預算數承銷暨買入各類票券2,472,600融資性商業本票發行金額2,198,933買賣各類票券7,601,450買賣各類債券4,603,700票債券附買回交易餘額200,251平均保證發行商業本票餘額153,000重要經營政策穩資金、降成本：加強開拓授信客戶承作外幣債券次級交易,擴展國內金融機構外幣資金,佈建穩定資金來源,彈性辦理拆款、換匯或附買回交易,在兼顧資金調度風險前提下,降低資金成本,提升養券利益。勤發票、擴利差：關注央行貨幣政策、掌握金融情勢	N
為中信金控突出的經營績效做了最好的肯定。除此之外,中信金控在106年首度入選道瓊永續指數(DJSI)「世界指數」成分股,是繼105年中信金控首次入選DJSI新興市場指數成分股後,更進一步地榮獲國際最高肯定,顯示中信金控已將經濟、環境、社會三大構面融入營運模式,打造永續經營能力,未來中信金控將以信任（TRUST）為承諾,透過「公司治理(Transparency)、環境永續(Responsibility)、員工關懷(Understanding)、產品服務(Satisfactory)、社會參與(Together)」五大面向,展現企業、環境、員工、客戶、社會對中信金控的重要性,並持續以良好的企業體質,提供客戶貼心的金融服務,承擔社會及環境的責任,期許能共創更美好的未來。	Y
597469,88009兆豐資產管理（股）公司327,994325,302183兆豐人身保險代理人（股）公司458,866355,129121兆豐創業投資（股）公司19,20517,013188兆豐國際證券投資信託（股）公司92,100114,94812註：兆豐國際證券投資信託（股）公司預算達成率12%,主係貨幣型基金規模縮減及調降經理費率。財務收支及獲利能力分析106年度本公司及子公司合併繼續營業單位稅前淨利29,280,727仟元,較上年度增加1,363,514仟元或88%,主要原因係利息淨收益減少1,813,528仟元；透過損益按公允價值衡量之金融資產及負債利益增加、手續費及佣金淨收益減少、兌換利益減少、及美國政府裁罰金減少等因素互抵後之利息以外淨收益增加6,409,796仟元；呆帳提存及各項準備增加454,325仟元及營業費用增加2,778,429仟元所致。另106年度本公司及子公司合併稅後淨利25,729	N
尚無重大影響。總體經營環境：國內金融市場方面	N
189,71826一般放款、進口押匯、出口押匯業務1,701,6011,739,548企金放款1,309,3721,356,748消金放款（不含信用卡循環信用餘額）392,229382,80046外匯承做數845	N
有利提高存放利差收入,進而改善銀行獲利,惟市場利率上升或對房地產帶來負面影響,將減緩房地產市場復甦腳步,不利拓展相關授信業務空間。此外,雖然自金融海嘯以來全球商品貿易成長率不再高於經濟成長率,牽制全球化腳步,衝擊以出口為導向的臺灣,造成低成長、低通膨、低利率的三低環境,並擠壓臺灣銀行業獲利,不過全球跨境資料傳輸卻爆發成長,而跨境金融活動亦大幅增加,故為提高銀行競爭力與成長性,打造數位金融環境與應用金融科技將是未來業務發展重點。然而目前全球仍然呈現雙面向經濟形態,一方面是經濟數據與觀感指標指向景氣持續復甦;另一方面是成長動能隨時可能因為金融市場不穩定而快速降低,例如:恐慌指數與偏離指數走勢相當分歧,暗示雖然市場預期未來波動程度偏低,不過黑天鵝事件發生機率較高,股票評價不僅超過金融海嘯前水準,甚至接近經濟大蕭條前狀態,而多位政府官員與經濟學家也對此示警,昂貴股票價格或在107年上半年來到高點,投資應中性看待	N
成長率7%。其中活期性存款為1兆2,160億元,定期性存款為7,985億元,臺幣活存比62%。截至105年12月底,總計房貸產品之授信餘額(含淨值貸款)為6,005億元,相較104年底成長1,038億元,成長率89%。小額信貸產品餘額為467億元,較104年底成長82億元,成長率21%。自動化通路業務獨家取得臺北捷運公司ATM金融服務,維持獨家進駐優勢;並重新汰換ATM及規劃無人銀行區,以提升使用效益、持續經營本行優質品牌形象。為延伸服務觸角,持續與萊爾富便利商店合作,並與全家便利商店擴大合作範圍,除商店內設置ATM以強化本行服務據點,並商談金流服務與數位支付運用。信用卡業務與加油、航空產業龍頭合作發行「台塑聯名卡」及「長榮航空聯名卡」,深耕開車族群與頂級飛航客群,滿足消費者多元消費需求與實質回饋。推出紅利行動兌換平台,增加紅利兌換便利性	Y
進而深化品牌認同。持續將環境、社會、公司治理（ESG）整併於公司營運規劃中,落實企業永續（CS）發展。國際經營方針發展OIU財產保險及再保險業務,開拓國際市場商機,擴大國際保險業務分公司規模。持續拓展越南保險市場規模,擴大在地化經營團隊與組織,維持穩定獲利。結合金控集團海外資源,持續評估海外策略投資機會,以參股/合作方式進行海外佈局,朝「亞太地區最佳金融機構」目標邁進。預期銷售數量及其依據考量本公司業務結構調整及成長性和續保情形,預估年度簽單保費收入218億元。重要之產銷政策透過E化流程提升金控整合行銷力道,並持續精實業務組織,加強發展外部通路	Y
料將支撐美國經濟溫和成長,惟貿易保護主義抬頭,恐增添經濟前景之不確定性;歐元區因勞動市場持續改善,以及企業及消費者信心處於高位,進而增添經濟成長動能,惟近期歐洲央行	Y
維持有效的法令遵循制度。預期營業目標與其依據單位:新台幣佰萬元主要業務項目106年度預算數承銷暨買入各類票券595,099融資性商業本票發行金額433,068買賣各類票券997,149買賣各類債券1,186,172平均保證發行商業本票餘額36,000依據:衡酌國內外經濟情勢、產業環境及本公司105年營運狀況預估。重要經營政策與未來發展策略票券業務以開發優質客戶,擴大客戶基礎為主,另持續降低資金成本,有效控管資產品質。債券業務首重降低利率風險,兼以波段區間操作為主,搭配衍生性金融商品提升操作靈活度。並配合主管機關開放業務,研究利率與匯率相關商品業務,積極參與市場操作。股權與可轉債業務,以考量產業特性與標的公司成長性,搭配總體環境進行操作布局,波段操作。徵授信業務,即時反應資金成本,並配合政府政策調升利差。持續改善授信資產品質,汰弱留強,維持零逾放。配合主管機關建議,調整客戶結構,開創穩定客源。逐步完成所有之交易商品資訊之整合。	N
本公司計有合作金庫商業銀行(股)公司、合作金庫證券(股)公司、合作金庫票券金融(股)公司、合作金庫資產管理(股)公司、合作金庫證券投資信託(股)公司、合作金庫人壽保險(股)公司及合作金庫創業投資(股)公司等七家子公司。營業計畫及經營策略實施成果過去一年來,承蒙諸位股東的信賴與支持,使本公司得以在平庸的景氣及競爭激烈的金融環境中,持續成長並再創新猷,105年度合併稅後淨利達新臺幣(以下同)139億元,較104年度增加77億元,成長幅度03%,金控獲利排名更由103年第11名躍升至105年的第6名,稅後淨利及同業排名雙再創歷史新高。稅後每股盈餘16元	N
在民間消費投資以及對外貿易的加持下,日本經濟的復甦仍在持續當中,中國的部分,在經濟調控政策下,將外貿導向的經濟轉為內需導向,把國家投資為主的成長動能轉化為民間消費與投資為主,將約制其經濟增速。國內經濟方面,行政院主計處公布106年全年經濟成長率為84%,較105年之4%,成長44個百分點。隨著全球經濟復甦力道增強,半導體市況暢旺及機械需求熱絡,推動進出口貿易表現,不僅帶動國內經濟成長力道,也帶動企業獲利及薪資水準,加上國際金融環境預測仍屬寬鬆水準,台灣利率也不致快速大幅提升	Y
107年度營業計劃概要經營方針及重要經營政策在地經營人才傳承提升品質重視風控數位金融創造商機簡化流程提升效率調整結構強化獲利預期營業目標本行107年度各項預期營業目標如下:台幣存款年度均值外幣存款年度均值台外幣放款年度均值1,657億元173億元1	Y
開發行動支付服務,提升金融交易量市佔率。配合政府推動綠色金融行動方案,本行加強綠色金融授信業務,106年授信餘額達新台幣174億元。為因應國際間對防制洗錢,打擊資恐的重視,本行已設置獨立之防制洗錢及打擊資恐專責單位,落實防制洗錢及打擊資恐作業之執行。	Y
純益率(稅後)15%,稅後每股盈餘87元。105年各項提存前稅前淨利64億元較104年增加58億元,為加強授信風險胃納而提列備抵呆帳04億元,105年稅前淨利59億元較104年增加63億元,主要係因拓展理財業務,致手續費淨收益增加。105年逾期放款比率為43%較104年減少05%,備抵呆帳覆蓋率為263%較104年增加41%。—六—研究發展狀況本行設有專責單位研究產業現況105年共撰寫產業分析報導174篇刊登於本行「行員專屬園地-電子圖書館」,供同仁點閱參考。另不定期邀請產官學界菁英人士演講,以利同仁了解最新產業發展趨勢。配合各項業務發展需要鼓勵創新與專業鼓勵同仁自行創新、研提新金融商品及業務改進方案,以提升本行業務競爭力,105年度行員提案總計採納97件。另定期舉辦業務講習,並提供豐富多樣的數位學習課程,鼓勵員工在職進修,吸收新知,增強員工競爭力並提升專業知識。	Y
107年本行將以提升放款收益、降低營運資金成本、增加手續費收入、推動數位金融服務、持續拓展海外市場為策略主軸。首先,在提升放款收益方面,積極推動海外授信及聯貸,並透過FTP制度實施,強化客群貢獻管理。在降低營運資金成本方面,除控管定存利率外,亦將透過現金管理服務及推展薪轉戶提升本行活存比例,進而提升存放利差。手續費收入增加方面,為提升財富管理業務動能,將調整業務管理模式、儲備存款活水、啟動客群經營及靈活操作商品策略,以有效提升理專產能並強化理財業務深度及廣度。在信用卡業務部份	Y
強化資本結構,106年底資本適足率、第一類資本比率及普通股權益比率分別為44％、32％及32％。產出率方面配合政府法令開放,積極開辦各項新種業務,擴大業務範疇,創投、人壽及證券子公司106年度產出率分別為256％、214％及152％,較105年度分別增加155％、52％及63％；此外,票券子公司產出率亦達321％。逐步調整集團核心業務結構,擴大存放款利差,持續加強財富管理業務,增加手續費收入,銀行子公司106年度產出率為154％,亦較105年度增加36％。整合行銷方面持續深化集團各子公司業務合作關係,截至106年底,證券子公司已在銀行子公司通路設置255個證券櫃檯,證券經紀業務下單量占證券子公司年度總交易量比重為14％；集團間轉介主協辦承銷案64件	N
居全國第二;新臺幣活期性存款餘額11,877億元(不含公庫),居全國第一,有效改善存款結構,降低資金成本。放款業務105年底放款餘額為新臺幣19,755億元,居全國第二,其中中小企業放款餘額為5,810億元,居全國第二;民營企業放款(不含政府機關、公營企業)餘額為新臺幣8	Y
459仟元;財務操作收益增加、手續費及佣金淨收益減少、投資性不動產利益減少、以及兆豐銀行遭美國紐約州金融服務署裁罰等因素互抵後之利息以外淨收益減少5,168,645仟元;呆帳提存及各項準備增加4,143,834仟元及營業費用減少2,116,251仟元所致。另105年度本公司及子公司合併稅後淨利22,442,895仟元,較上年度減少6,830,374仟元或33%,合併資產報酬率為67%	N
多頭表現延續。國內經濟在全球景氣復甦帶動出口,及薪資成長與股市熱絡帶動內需市場下,106年經濟成長率86%,較105年的41%顯著回升。國內通膨溫和,使央行暫不跟進升息腳步,提高外幣產品對台灣銀行業與民眾之吸引力,使匯率對國人資產價值變動影響更趨關鍵。	N
受到外部競爭環境、法規環境及總體經營環境之影響主管機關擴大業務範圍:開放保險給付可採實物給付,給付樣態包含健康管理、醫療、長期照顧、護理、老人安養和殯葬,保戶可享多元化服務選擇;開放團體年金保險,且提供企業稅賦誘因,協助企業延攬並留住專業人才,同時替員工累積退休金;開放投資型附保證給付商品可採負債避險,有助控管商品風險及降低避險成本,此些政策皆可擴大業務範圍以提升成長動能,本公司亦積極投入新業務	Y
106年度營業計畫概要經營方針強化組織管理以提升營運績效,持續維持市場領導地位。落實績效評核,強化人力資源之運用效率。落實內部控制,強化公司治理。強化風險管理,維持良好財務及資產品質。預期營業目標與其依據單位:新臺幣佰萬元項目106年度預算數承銷暨買入各類票券融資性商業本票發行金額買賣各類票券買賣各類債券票債券附買回交易餘額平均保證發行商業本票餘額2,207,6301,944,6817,398,5964,500,460208,129152,000依據:衡量目前之競爭地位及市場環境並依據金控母公司賦予之目標訂定。重要經營政策穩資金、降成本:加強開拓授信客戶承作外幣債券次級交易,擴展國內金融機構外幣資金,佈建穩定資金來源,彈性辦理拆款、換匯或附買回交易,在兼顧資金調度風險前提下,降低資金成本,提升養券利益。勤發票、擴利差:關注央行貨幣政策、掌握金融情勢,適時調控初、次級交易利率	N
豐富海外債券、ETF、股票等各類基金及保險商品,提供客戶一次購足的服務;推展理財聚焦專案,針對重點客戶採分群、分級管理方式深耕,量身訂作整合性之財務規劃,以擴大資產管理規模,提高手收比重,多元收益來源。掌握銀髮族的銀色金融商機,以年金、醫療及長照為主軸,引進各類理財及保險商品,結合信託服務,協助客戶打造經濟穩定、賦閒無憂生活。結合證券與人壽等子公司資源,強化集團業務整合行銷,發揮櫃台、AO人員協銷轉介能力,拓展理財客戶,深化客我關係、共創雙贏。整合虛實通路服務,打造便捷數位環境掌握科技發展趨勢,創新數位金融商品;優化網銀與行動網銀功能	Y
﻿集團106年度經營結果106年度國內外金融環境106年度受到國際貿易復甦、資金持續寬鬆及原物料價格回穩影響,主要先進經濟體復甦力道增強,依據IHSMarkit及國際貨幣基金(IMF)預估全球經濟成長率約介於2%~7%,較105年度5%~1%明顯成長,逐漸擺脫新平庸之困境。行政院主計總處初步統計106年我國經濟成長率為86%,較105年度41%增加45個百分點。主要係受惠全球景氣穩步向上、旺季拉抬效應及國際農工原料價格續升,貿易動能維持,加上國內就業市場改善,股市交易熱絡,支持民間消費動能所致。在金融業方面,受惠國際金融市場股債俱揚影響,使得台灣加權股價指數同步上漲15%,成交量受當沖交易稅減半等政策激勵成長約36%,加上天災及重大賠案較少	N
本(1年度經營策略及業務計畫-『創新轉型、永續競爭』展望106年度集團之營運,面對全球進入新平庸經濟時代,本集團不論在海外市場的布局串聯,或是新科技的掌握與商品服務的創新等面向,仍積極思索永續成長的動力,一方面以「創新轉型」策略,打造「數位型」金融業的軟、硬體基礎結構,逐步調整集團各事業營運模式,聚焦核心業務推展,以推動獲利成長。另一方面,以「永續競爭」策略,結合金融科技應用,深化客群經營管理	N
並針對不同通路之客群,設計適銷商品。落實以客為尊之高附加價值服務,藉以提高客戶滿意度及忠誠度。結合異業聯盟,拓展其相關業務並延伸其往來客戶之業務。提供商品客製化組合,以提升直接客戶業務量。	N
